l, ms
1, 0.001000
31, 0.001000
61, 0.001000
91, 0.001000
121, 0.001000
511, 0.001000
1021, 0.001000
1501, 0.001000
2011, 0.001000
2521, 0.002000
3001, 0.001000
3511, 0.001000
4021, 0.002000
4501, 0.002000
5011, 0.001000
5521, 0.001000
6001, 0.002000
6511, 0.001000
7021, 0.001000
7501, 0.001000
8011, 0.002000
8521, 0.001000
9001, 0.002000
