l, ms
1, 0.002000
501, 0.002000
1001, 0.001000
1501, 0.002000
2001, 0.002000
2501, 0.003000
3001, 0.002000
3501, 0.004000
4001, 0.003000
4501, 0.005000
5001, 0.004000
5501, 0.004000
6001, 0.006000
6501, 0.005000
7001, 0.006000
7501, 0.008000
8001, 0.008000
8501, 0.010000
9001, 0.010000
