W,s
100, 1.957322
20100, 2.424933
40100, 2.512856
60100, 2.578123
80100, 2.686119
100100, 2.668782
120100, 2.677832
140100, 2.674327
200100, 2.718418
240100, 2.714108
300100, 2.669261
320100, 2.624078
360100, 2.597009
420100, 2.594576
440100, 2.598744
480100, 2.566412
540100, 2.539917
560100, 2.564200
600100, 2.580382
660100, 2.536217
680100, 2.561169
720100, 2.560572
780100, 2.578282
800100, 2.562212
