T, ms
5, 0.0116666666666667
15, 0.023333
25, 0.0343333333333333
35, 0.0405003333333333
45, 0.0558336666666667
55, 0.080778
65, 0.0965556666666667
75, 0.136944333333333
85, 0.162833333333333
95, 0.191611333333333
