T, ms
5, 0.0116666666666667
10, 0.013611
15, 0.0388333333333333
20, 1.440611
25, 0.0343333333333333
30, 0.042111
35, 0.0405003333333333
40, 0.0465
45, 0.0558336666666667
50, 0.0745556666666667
55, 0.080778
60, 0.0855556666666667
65, 0.0965556666666667
70, 0.116777666666667
75, 0.136944333333333
80, 0.144389
85, 0.162833333333333
90, 0.174444666666667
95, 0.201611333333333
